,Book,Author,Description,Q1,Q2,Q3,Q4,Q5,Q6,sum,labels
0,In Search of Lost Time ,Marcel Proust,"Swann's Way, the first part of A la recherche de temps perdu, Marcel Proust's seven-part cycle, was published in 1913. In it, Proust introduces the themes that run through the entire work.
            ",1,3,2,2,3,2,13,0
1,Don Quixote,Miguel de Cervantes,"
 Alonso Quixano, a retired country gentleman in his fifties, lives in an unnamed section of La Mancha with his niece and a housekeeper. He has become obsessed with books of chivalry.
            ",2,1,2,2,8,1,16,1
2,Ulysses,James Joyce,"
Ulysses chronicles the passage of Leopold Bloom through Dublin during an ordinary day, June 16, 1904. The title parallels and alludes to Odysseus (Latinised into Ulysses), the hero of Homer's Odyssey.
            ",3,1,1,2,7,1,15,2
3,The Great Gatsby ,F. Scott Fitzgerald,"The novel chronicles an era that Fitzgerald himself dubbed the ""Jazz Age"". Following the shock and chaos of World War I, American society enjoyed unprecedented levels of prosperity during the ""roar
            ",1,2,2,2,6,1,14,3
4,Moby Dick,Herman Melville,"
First published in 1851, Melville's masterpiece is, in Elizabeth Hardwick's words, ""the greatest novel in American literature."" The saga of Captain Ahab and his monomaniacal pursuit of the white whale.
            ",1,3,1,2,6,2,15,4
5,Hamlet,William Shakespeare,"The Tragedy of Hamlet, Prince of Denmark, or more simply Hamlet, is a tragedy by William Shakespeare, believed to have been written between 1599 and 1601. The play, set in Denmark.
            ",3,2,2,3,6,2,18,5
6,War and Peace,Leo Tolstoy,"
              Epic in scale, War and Peace delineates in graphic detail events leading up to Napoleon's invasion of Russia, and the impact of the Napoleonic era on Tsarist society, as seen through the eyes of fi...
            ",1,3,3,1,8,2,18,6
7,The Odyssey,Homer,"The Odyssey is one of two major ancient Greek epic poems attributed to Homer. It is, in part, a sequel to the Iliad, the other work traditionally ascribed to Homer. The poem is fundamental to the m...
            ",3,1,1,2,7,2,16,7
8,One Hundred Years of Solitude ,Gabriel Garcia Marquez,"
One of the 20th century's enduring works, One Hundred Years of Solitude is a widely beloved and acclaimed novel known throughout the world, and the ultimate achievement in a Nobel Prize winning car.
            ",1,3,3,1,8,1,17,8
9,The Divine Comedy ,Dante Alighieri,"
Belonging in the immortal company of the great works of literature, Dante Alighieri's poetic masterpiece, The Divine Comedy, is a moving human drama.
            ",3,1,1,3,7,2,17,9
10,The Brothers Karamazov ,Fyodor Dostoyevsky,"
Dostoevsky's last and greatest novel, The Karamazov Brothers, is both a brilliantly told crime story and a passionate philosophical debate. The dissolute landowner Fyodor Pavlovich Karamazov is murdered.
            ",1,2,2,2,6,2,15,10
11,Madame Bovary,Gustave Flaubert,"
For daring to peer into the heart of an adulteress and enumerate its contents with profound dispassion, the author of Madame Bovary was tried for ""offenses against morality and religion.""
            ",1,3,2,2,3,1,12,11
12,The Adventures of Huckleberry Finn,Mark Twain,"Revered by all of the town's children and dreaded by all of its mothers, Huckleberry Finn is indisputably the most appealing child-hero in American literature.

            ",1,1,1,3,2,1,9,12
13,The Iliad,Homer,"
The Iliad is an epic poem in dactylic hexameters, traditionally attributed to Homer. Set in the Trojan War, the ten-year siege of Ilium by a coalition of Greek states, it tells of the battles and e...
            ",3,2,2,1,7,2,17,13
14,Lolita ,Vladimir Nabokov,"
The book is internationally famous for its innovative style and infamous for its controversial subject: the protagonist and unreliable narrator, middle aged Humbert.
            ",1,2,2,1,6,1,13,14
15,Crime and Punishment ,Fyodor Dostoyevsky,"
It is a murder story, told from a murder;s point of view, that implicates even the most innocent reader in its enormities. It is a cat-and-mouse game between a tormented young killer and a cheerful.
            ",1,2,2,1,5,2,13,15
16,Alice's Adventures in Wonderland ,Lewis Carroll,"
In 1862 Charles Lutwidge Dodgson, a shy Oxford mathematician with a stammer, created a story about a little girl tumbling down a rabbit hole. Thus began the immortal adventures of Alice.
            ",1,1,1,2,7,1,13,16
